Used 2023 Chevrolet, Malibu LT, $14,500, Excellent Price, 51,207 miles, 
Used 2022 Ford, Explorer XLT 4WD, $15,450, Excellent Price, 148,790 miles, 
Used 2021 Tesla, Model Y Long Range AWD, $13,995, Excellent Price, 134,658 miles, 
Used 2023 Chrysler, Voyager LX FWD, $13,995, Excellent Price, 117,010 miles, 
Used 2023 Chrysler, Voyager LX FWD, $13,995, Excellent Price, 123,576 miles, 
Used 2021 Toyota, Corolla LE CVT, $12,444, Excellent Price, 83,407 miles, 
Used 2014 Ford, Escape SE FWD, $6,499, Excellent Price, 100,646 miles, 
Used 2020 Kia, Niro EV EX Premium, $14,995, Excellent Price, 50,443 miles, 
Used 2015 Ford, Focus Electric Electric Hatchback, $5,995, Excellent Price, 32,728 miles, 
Used 2022 Nissan, Altima 2.5 S FWD, $9,955, Excellent Price, 138,425 miles, 
Used 2016 Ford, Focus SE Sedan, $4,981, Excellent Price, 123,561 miles, 
Used 2016 Chevrolet, Silverado 1500 Z71 LT Double Cab Standard Box 4WD, $14,995, Excellent Price, 100,097 miles, 
Used 2020 Nissan, Versa SV CVT, $8,500, Excellent Price, 80,739 miles, 
Used 2022 Audi, e-tron Premium SUV, $27,985, Excellent Price, 16,820 miles, 
Used 2020 Audi, S8 Sedan, $49,291, Excellent Price, 51,993 miles, 
Used 2023 Hyundai, Elantra Hybrid Limited DCT, $13,995, Excellent Price, 159,193 miles, 
Used 2021 Ford, Mustang Mach 1 Fastback, $50,000, Excellent Price, 3,468 miles, 
Used 2023 Genesis, GV60 Performance, $30,853, Excellent Price, 44,886 miles, 
Used 2014 Tesla, Model S P85 RWD, $12,785, Excellent Price, 84,556 miles, 
Used 2019 Tesla, Model 3 Long Range Dual Motor, $14,500, Excellent Price, 96,661 miles, 
Used 2020 Jeep, Grand Cherokee Limited X 4WD, $12,200, Excellent Price, 159,690 miles, 
Used 2022 Nissan, Altima 2.5 S FWD, $10,880, Excellent Price, 122,625 miles, 
Used 2015 Ford, Econoline Commercial Cutaway E-350 138" DRW, $9,999, Excellent Price, 184,030 miles, 
Used 2022 BMW, X5 xDrive40i AWD, $26,993, Excellent Price, 89,487 miles, 
Used 2013 Hyundai, Elantra GLS Sedan Automatic, $6,450, Excellent Price, 70,704 miles, 
Used 2014 Ford, F-150 FX4 SuperCrew 5.5' Box 4WD, $14,499, Excellent Price, 83,326 miles, 
Used 2016 BMW, 528i xDrive Sedan, $15,900, Excellent Price, 52,454 miles, 
Used 2013 Honda, Civic EX Sedan Automatic, $8,395, Excellent Price, 128,089 miles, 
Used 2021 Volkswagen, ID.4 Pro RWD, $15,995, Excellent Price, 31,515 miles, 
Used 2015 Nissan, Altima 2.5 S, $5,998, Excellent Price, 116,147 miles, 
