Year/Make, Model, Price, Rating, Mileage
Used 2022 Subaru, WRX Manual, 25580, Great Price, 14375
Used 2022 Subaru, Forester Touring, 30516, Fair Price, 17578
Used 2022 Subaru, Outback 2.5i Premium, 24740, Excellent Price, 25534
Used 2022 Subaru, Forester 2.5i, 14999, Excellent Price, 133326
Used 2022 Subaru, Forester Touring, 24500, Excellent Price, 41624
Used 2022 Subaru, Outback 2.5i Premium, 16750, Excellent Price, 96884
Used 2022 Subaru, Impreza Premium 5-door CVT, 17750, Excellent Price, 34720
Used 2022 Subaru, BRZ Premium Manual, 19320, Excellent Price, 60784
Used 2022 Subaru, Forester Limited, 27688, Excellent Price, 14214
Used 2022 Subaru, WRX CVT, 24955, Excellent Price, 32618
Used 2022 Subaru, Crosstrek 2.5i Limited CVT, 22888, Excellent Price, 36365
Used 2022 Subaru, Ascent Limited 7-Passenger, 25705, Excellent Price, 48339
Used 2022 Subaru, WRX Premium Manual, 23690, Excellent Price, 39215
Used 2022 Subaru, Crosstrek 2.5i Limited CVT, 24053, Excellent Price, 19053
Used 2022 Subaru, Crosstrek 2.5i Limited CVT, 23100, Excellent Price, 26268
Used 2022 Subaru, Forester Premium, 24996, Excellent Price, 47402
Used 2022 Subaru, Outback 2.5i Premium, 21900, Excellent Price, 49565
Used 2022 Subaru, Legacy 2.5i Premium, 18743, Excellent Price, 35505
Used 2022 Subaru, Outback 2.5i Touring, 26656, Excellent Price, 30560
Used 2022 Subaru, Legacy 2.5i Premium, 18131, Excellent Price, 33173
Used 2022 Subaru, Outback 2.5i Premium, 23944, Excellent Price, 17591
Used 2022 Subaru, Legacy 2.4T Limited XT, 25062, Excellent Price, 19057
Used 2022 Subaru, Forester Wilderness, 25954, Great Price, 28777
Used 2022 Subaru, Impreza Premium Sedan CVT, 18995, Excellent Price, 29648
Used 2022 Subaru, Crosstrek 2.5i Limited CVT, 26521, Great Price, 3907
Used 2022 Subaru, Forester Touring, 26295, Excellent Price, 34557
Used 2022 Subaru, Crosstrek 2.0i CVT, 21995, Great Price, 12716
Used 2022 Subaru, Outback 2.5i Touring, 25985, Great Price, 25073
Used 2022 Subaru, Crosstrek 2.5i Limited CVT, 25995, Great Price, 30708
Used 2022 Subaru, Crosstrek 2.5i Sport CVT, 24996, Great Price, 35914
Used 2022 Subaru, Crosstrek 2.5i Limited CVT, 24385, Great Price, 17300
Used 2022 Subaru, Crosstrek 2.5i Limited CVT, 24796, Great Price, 22190
Used 2022 Subaru, Crosstrek 2.5i Limited CVT, 22780, Great Price, 45171
Used 2022 Subaru, Legacy 2.5i Limited, 24900, Great Price, 25835
Used 2022 Subaru, Crosstrek 2.5i Limited CVT, 24613, Great Price, 29247
Used 2022 Subaru, Outback 2.5i Limited, 26300, Great Price, 32081
Used 2022 Subaru, Legacy 2.4T Limited XT, 25062, Excellent Price, 19057
Used 2022 Subaru, WRX Limited Manual, 31998, Great Price, 15383
Used 2022 Subaru, Impreza 5-door CVT, 18999, Fair Price, 21339
Used 2022 Subaru, Ascent Limited 7-Passenger, 25705, Excellent Price, 48339
Used 2022 Subaru, Forester Limited, 28388, Great Price, 8381
Used 2022 Subaru, Ascent Limited 8-Passenger, 17999, Excellent Price, 133319
Used 2022 Subaru, Ascent Premium 8-Passenger, 29998, Great Price, 27331
Used 2022 Subaru, Forester Sport, 26105, Great Price, 16279
Used 2022 Subaru, Forester Premium, 25788, Fair Price, 32024
Used 2022 Subaru, Outback 2.5i, 15999, Great Price, 120272
Used 2022 Subaru, Ascent Onyx Edition 7-Passenger, 31998, Great Price, 31040
Used 2022 Subaru, Ascent Limited 8-Passenger, 26795, Great Price, 49297
Used 2022 Subaru, Forester Limited, 29996, Great Price, 18002
Used 2022 Subaru, Crosstrek 2.5i Limited CVT, 23100, Excellent Price, 26268
Used 2022 Subaru, Outback 2.4T Limited XT, 26839, Great Price, 34034
Used 2022 Subaru, Crosstrek 2.5i Limited CVT, 25195, Great Price, 8229
Used 2022 Subaru, Outback 2.5i Touring, 27095, Excellent Price, 14204
Used 2022 Subaru, Crosstrek 2.5i Limited CVT, 24613, Great Price, 29247
Used 2022 Subaru, Legacy 2.4T Limited XT, 19999, Great Price, 97563
