Used 2022 Hyundai, Santa Fe Limited AWD, $25,950, Fair Price, 51,676 miles, 
Used 2022 Hyundai, Tucson Limited AWD, $24,806, Fair Price, 26,132 miles, 
Used 2022 Hyundai, Elantra Limited IVT (SULEV), $22,998, Fair Price, 30,139 miles, 
Used 2022 Hyundai, Tucson Limited AWD, $24,490, Great Price, 29,417 miles, 
Used 2022 Hyundai, Elantra Hybrid Blue DCT, $19,749, Fair Price, 25,801 miles, 
Used 2022 Hyundai, Tucson SEL AWD, $24,356, High Price, 36,288 miles, 
Used 2022 Hyundai, Tucson SEL AWD, $19,921, Fair Price, 45,258 miles, 
Used 2022 Hyundai, Santa Fe SEL AWD, $21,527, Fair Price, 48,403 miles, 
Used 2022 Hyundai, Tucson SEL AWD, $21,590, Fair Price, 35,555 miles, 
Used 2022 Hyundai, Tucson SEL AWD, $23,755, Fair Price, 42,164 miles, 
Used 2022 Hyundai, Sonata SEL, $20,998, Great Price, 40,894 miles, 
Used 2022 Hyundai, Tucson SEL AWD, $25,210, High Price, 24,028 miles, 
Used 2022 Hyundai, Sonata SEL, $17,699, Fair Price, 47,359 miles, 
Used 2022 Hyundai, Elantra Limited IVT (SULEV), $23,078, High Price, 14,215 miles, 
Used 2022 Hyundai, Palisade SEL AWD, $29,695, Fair Price, 37,482 miles, 
Used 2022 Hyundai, Elantra SEL IVT (SULEV), $19,459, Fair Price, 17,246 miles, 
Used 2022 Hyundai, Venue Limited IVT, $20,490, Fair Price, 1,642 miles, 
Used 2022 Hyundai, Sonata Limited, $26,481, Fair Price, 10,774 miles, 
Used 2022 Hyundai, Tucson SEL AWD, $22,267, Fair Price, 24,101 miles, 
Used 2022 Hyundai, Tucson XRT AWD, $23,990, Fair Price, 49,960 miles, 
Used 2022 Hyundai, Elantra SEL IVT (SULEV), $20,998, Fair Price, 36,584 miles, 
Used 2022 Hyundai, Tucson SEL AWD, $23,295, High Price, 50,379 miles, 
Used 2022 Hyundai, Santa Fe Limited AWD, $25,999, Fair Price, 24,052 miles, 
Used 2022 Hyundai, Elantra SEL IVT (SULEV), $21,998, High Price, 16,894 miles, 
Used 2022 Hyundai, Palisade SEL AWD, $33,900, Fair Price, 10,316 miles, 
Used 2022 Hyundai, Elantra Limited IVT (SULEV), $22,550, Great Price, 2,148 miles, 
Used 2022 Hyundai, Tucson SEL AWD, $21,917, Fair Price, 23,615 miles, 
Used 2022 Hyundai, Tucson Limited AWD, $29,998, High Price, 22,075 miles, 
Used 2022 Hyundai, Tucson SEL AWD, $22,718, Fair Price, 46,019 miles, 
Used 2022 Hyundai, Elantra Hybrid Limited DCT, $25,998, High Price, 24,407 miles, 
Used 2022 Hyundai, Sonata SEL, $21,998, Fair Price, 29,024 miles, 
Used 2022 Hyundai, Elantra Limited IVT (SULEV), $18,585, Fair Price, 30,107 miles, 
Used 2022 Hyundai, Tucson SEL AWD, $26,998, High Price, 27,218 miles, 
Used 2022 Hyundai, Santa Fe Calligraphy AWD, $29,401, Fair Price, 41,795 miles, 
Used 2022 Hyundai, Tucson SEL AWD, $20,541, Excellent Price, 30,819 miles, 
Used 2022 Hyundai, Santa Fe SE AWD, $23,400, Fair Price, 24,516 miles, 
Used 2022 Hyundai, Tucson SEL AWD, $24,540, High Price, 35,080 miles, 
Used 2022 Hyundai, Elantra SEL IVT (SULEV), $16,997, Great Price, 43,107 miles, 
Used 2022 Hyundai, Tucson SEL AWD, $25,499, High Price, 26,695 miles, 
Used 2022 Hyundai, Tucson SEL AWD, $24,400, High Price, 33,624 miles, 
Used 2022 Hyundai, Santa Cruz SEL FWD, $22,299, High Price, 70,648 miles, 
Used 2022 Hyundai, Santa Fe Limited AWD, $22,080, Excellent Price, 24,101 miles, 
Used 2022 Hyundai, Tucson SEL AWD, $24,291, Fair Price, 21,532 miles, 
Used 2022 Hyundai, Kona SEL AWD Automatic, $22,481, High Price, 9,070 miles, 
Used 2022 Hyundai, Tucson SEL AWD, $22,498, High Price, 58,263 miles, 
Used 2022 Hyundai, Tucson SEL AWD, $23,950, Fair Price, 35,437 miles, 
Used 2022 Hyundai, Palisade SEL AWD, $27,700, Fair Price, 75,440 miles, 
Used 2022 Hyundai, Elantra N DCT, $28,998, High Price, 39,899 miles, 
Used 2022 Hyundai, Venue SE IVT, $19,998, High Price, 20,080 miles, 
Used 2022 Hyundai, Santa Fe SEL AWD, $24,990, High Price, 36,586 miles, 
Used 2022 Hyundai, Tucson SEL AWD, $22,099, Fair Price, 28,216 miles, 
Used 2022 Hyundai, Kona SEL AWD Automatic, $18,995, Fair Price, 30,611 miles, 
Used 2022 Hyundai, Santa Fe Calligraphy AWD, $25,700, Great Price, 32,988 miles, 
Used 2022 Hyundai, Kona SEL FWD Automatic, $17,490, High Price, 89,538 miles, 
Used 2022 Hyundai, Venue SE IVT, $17,495, Fair Price, 43,207 miles, 
Used 2022 Hyundai, Palisade Limited AWD, $28,995, Fair Price, 35,680 miles, 
Used 2022 Hyundai, Palisade Limited AWD, $35,988, High Price, 21,090 miles, 
Used 2022 Hyundai, Tucson Limited AWD, $25,444, Fair Price, 30,666 miles, 
Used 2022 Hyundai, Tucson SEL AWD, $25,618, High Price, 17,982 miles, 
Used 2022 Hyundai, Kona SEL AWD Automatic, $20,850, Fair Price, 30,262 miles, 
Used 2022 Hyundai, Palisade Limited AWD, $28,995, Fair Price, 35,680 miles, 
Used 2022 Hyundai, Santa Fe XRT AWD, $22,995, Fair Price, 68,034 miles, 
Used 2022 Hyundai, Sonata Limited, $22,714, High Price, 59,998 miles, 
Used 2022 Hyundai, Palisade Limited AWD, $34,589, Fair Price, 43,076 miles, 
Used 2022 Hyundai, Tucson Limited AWD, $24,806, Fair Price, 26,132 miles, 
Used 2022 Hyundai, IONIQ 5 SE AWD, $19,690, Fair Price, 59,059 miles, 
Used 2022 Hyundai, Elantra SEL IVT (SULEV), $18,995, Great Price, 32,525 miles, 
Used 2022 Hyundai, Elantra SEL IVT (SULEV), $19,998, Fair Price, 36,301 miles, 
Used 2022 Hyundai, Santa Fe Limited AWD, $22,080, Excellent Price, 24,101 miles, 
Used 2022 Hyundai, Sonata SEL, $17,599, Fair Price, 46,614 miles, 
Used 2022 Hyundai, Santa Fe Limited AWD, $25,950, Fair Price, 51,676 miles, 
Used 2022 Hyundai, Sonata SEL Plus, $20,995, High Price, 71,267 miles, 
Used 2022 Hyundai, Tucson N Line AWD, $24,299, High Price, 39,036 miles, 
Used 2022 Hyundai, Tucson SEL AWD, $22,267, Fair Price, 24,101 miles, 
Used 2022 Hyundai, Santa Cruz SEL Premium AWD, $28,998, Fair Price, 9,828 miles, 
Used 2022 Hyundai, Santa Fe SEL AWD, $24,318, Great Price, 31,959 miles, 
Used 2022 Hyundai, Kona SEL AWD Automatic, $20,059, Fair Price, 37,813 miles, 
Used 2022 Hyundai, Elantra SEL IVT (SULEV), $18,995, High Price, 32,915 miles, 
Used 2022 Hyundai, Venue Limited IVT, $20,490, Fair Price, 1,642 miles, 
Used 2022 Hyundai, Venue Limited IVT, $16,597, Fair Price, 65,259 miles, 
Used 2022 Hyundai, Santa Fe SEL AWD, $21,990, High Price, 49,196 miles, 
Used 2022 Hyundai, Sonata SEL, $17,699, Fair Price, 47,359 miles, 
Used 2022 Hyundai, IONIQ 5 Limited AWD, $30,490, High Price, 18,954 miles, 
Used 2022 Hyundai, Santa Fe Limited AWD, $25,999, Fair Price, 24,052 miles, 
Used 2022 Hyundai, Sonata Limited, $28,995, High Price, 12,802 miles, 
Used 2022 Hyundai, Tucson SEL AWD, $20,541, Excellent Price, 30,819 miles, 
Used 2022 Hyundai, Sonata SEL, $24,995, High Price, 18,668 miles, 
Used 2022 Hyundai, Elantra Limited IVT (SULEV), $18,585, Fair Price, 30,107 miles, 
Used 2022 Hyundai, Santa Fe Calligraphy AWD, $25,700, Great Price, 32,988 miles, 
Used 2022 Hyundai, Tucson Limited AWD, $25,995, Fair Price, 46,005 miles, 
Used 2022 Hyundai, Kona SE AWD Automatic, $17,995, Great Price, 39,251 miles, 
Used 2022 Hyundai, Tucson SEL AWD, $22,099, Fair Price, 28,216 miles, 
Used 2022 Hyundai, Santa Fe SEL AWD, $24,059, High Price, 35,953 miles, 
Used 2022 Hyundai, Tucson SEL AWD, $23,950, Fair Price, 35,437 miles, 
Used 2022 Hyundai, Sonata SEL, $21,995, Fair Price, 24,762 miles, 
Used 2022 Hyundai, Sonata SEL, $23,664, High Price, 8,889 miles, 
Used 2022 Hyundai, Palisade SEL AWD, $27,700, Fair Price, 75,440 miles, 
Used 2022 Hyundai, Tucson Hybrid SEL Convenience AWD, $22,771, Great Price, 54,080 miles, 
Used 2022 Hyundai, Elantra N Line Manual, $19,490, High Price, 44,299 miles, 
Used 2022 Hyundai, Kona SEL AWD Automatic, $18,995, Fair Price, 30,611 miles, 
Used 2022 Hyundai, Santa Cruz SEL Premium AWD, $23,839, Fair Price, 52,500 miles, 
Used 2022 Hyundai, Tucson Limited AWD, $25,444, Fair Price, 30,666 miles, 
Used 2022 Hyundai, Elantra SEL IVT (SULEV), $20,997, Fair Price, 9,913 miles, 
Used 2022 Hyundai, Venue SEL IVT, $18,400, Great Price, 27,518 miles, 
Used 2022 Hyundai, Palisade SE AWD, $26,995, Fair Price, 61,898 miles, 
Used 2022 Hyundai, Sonata SE, $18,390, High Price, 41,869 miles, 
Used 2022 Hyundai, Tucson Limited AWD, $26,498, Fair Price, 53,658 miles, 
Used 2022 Hyundai, Tucson SEL AWD, $23,970, Great Price, 8,790 miles, 
Used 2022 Hyundai, Sonata N Line, $25,010, Great Price, 24,959 miles, 
Used 2022 Hyundai, Santa Fe SEL AWD, $21,635, Great Price, 32,120 miles, 
Used 2022 Hyundai, Sonata SEL, $18,139, Excellent Price, 41,735 miles, 
Used 2022 Hyundai, Elantra N Line Manual, $18,015, High Price, 71,180 miles, 
Used 2022 Hyundai, Tucson SEL AWD, $24,888, Fair Price, 9,323 miles, 
Used 2022 Hyundai, Tucson SEL AWD, $22,995, High Price, 34,871 miles, 
Used 2022 Hyundai, Santa Fe Calligraphy AWD, $28,075, Great Price, 33,333 miles, 
Used 2022 Hyundai, Tucson SEL AWD, $24,059, High Price, 39,323 miles, 
Used 2022 Hyundai, Tucson SEL AWD, $18,019, Fair Price, 44,005 miles, 
Used 2022 Hyundai, Santa Fe SEL AWD, $22,761, Fair Price, 52,976 miles, 
Used 2022 Hyundai, Venue Limited IVT, $16,528, Excellent Price, 29,207 miles, 
Used 2022 Hyundai, Tucson Plug-In Hybrid Limited AWD, $26,889, Excellent Price, 42,083 miles, 
Used 2022 Hyundai, Santa Fe Limited AWD, $29,989, Fair Price, 29,975 miles, 
Used 2022 Hyundai, Tucson Limited AWD, $24,771, Fair Price, 34,314 miles, 
Used 2022 Hyundai, Kona SEL AWD Automatic, $20,000, Fair Price, 36,775 miles, 
Used 2022 Hyundai, Kona SEL AWD Automatic, $18,794, High Price, 36,472 miles, 
Used 2022 Hyundai, Tucson SEL AWD, $21,495, High Price, 47,176 miles, 
Used 2022 Hyundai, Tucson XRT AWD, $21,990, Fair Price, 46,730 miles, 
Used 2022 Hyundai, Santa Fe Hybrid SEL Premium AWD, $22,690, Fair Price, 65,703 miles, 
Used 2022 Hyundai, Tucson SEL AWD, $23,998, High Price, 41,454 miles, 
Used 2022 Hyundai, Kona SEL AWD Automatic, $21,759, High Price, 28,243 miles, 
Used 2022 Hyundai, Santa Fe SEL AWD, $23,499, Fair Price, 30,504 miles, 
Used 2022 Hyundai, Tucson XRT AWD, $20,995, Fair Price, 50,301 miles, 
Used 2022 Hyundai, Elantra SEL IVT (SULEV), $17,470, Fair Price, 29,203 miles, 
Used 2022 Hyundai, Sonata SEL, $19,500, Fair Price, 51,699 miles, 
Used 2022 Hyundai, Santa Fe Plug-In Hybrid SEL Convenience AWD, $24,995, Excellent Price, 31,605 miles, 
Used 2022 Hyundai, Elantra SEL IVT (SULEV), $19,798, Fair Price, 35,301 miles, 
Used 2022 Hyundai, Tucson SEL FWD, $21,499, Fair Price, 19,779 miles, 
Used 2022 Hyundai, Santa Fe Calligraphy AWD, $31,797, Fair Price, 31,943 miles, 
Used 2022 Hyundai, Santa Fe Calligraphy AWD, $30,800, Fair Price, 11,727 miles, 
Used 2022 Hyundai, Santa Fe SEL AWD, $20,947, High Price, 90,573 miles, 
Used 2022 Hyundai, Elantra SEL IVT (SULEV), $16,218, Great Price, 36,503 miles, 
Used 2022 Hyundai, Tucson SEL AWD, $23,989, High Price, 52,909 miles, 
Used 2022 Hyundai, Tucson SEL AWD, $19,995, Great Price, 37,740 miles, 
Used 2022 Hyundai, Elantra SEL IVT (SULEV), $18,988, Great Price, 27,518 miles, 
Used 2022 Hyundai, Sonata SEL, $17,426, Fair Price, 42,003 miles, 
Used 2022 Hyundai, Sonata SEL Plus, $23,500, High Price, 27,284 miles, 
Used 2022 Hyundai, Tucson SEL AWD, $26,481, High Price, 29,877 miles, 
Used 2022 Hyundai, Sonata SEL, $18,995, Fair Price, 25,871 miles, 
Used 2022 Hyundai, Santa Fe SEL AWD, $24,775, Fair Price, 27,605 miles, 
Used 2022 Hyundai, Santa Fe SEL AWD, $26,218, High Price, 22,271 miles, 
Used 2022 Hyundai, Tucson Hybrid SEL Convenience AWD, $26,998, Fair Price, 33,926 miles, 
Used 2022 Hyundai, Tucson SEL AWD, $25,389, High Price, 14,910 miles, 
Used 2022 Hyundai, Elantra SEL IVT (SULEV), $20,788, High Price, 13,464 miles, 
Used 2022 Hyundai, Santa Cruz SEL FWD, $22,798, Fair Price, 42,226 miles, 
Used 2022 Hyundai, Santa Fe SEL AWD, $26,676, High Price, 26,062 miles, 
Used 2022 Hyundai, IONIQ 5 SE AWD, $19,690, Fair Price, 59,059 miles, 
Used 2022 Hyundai, Palisade SEL AWD, $30,106, High Price, 38,141 miles, 
Used 2022 Hyundai, Santa Fe Hybrid Blue AWD, $19,800, Fair Price, 93,618 miles, 
Used 2022 Hyundai, Kona Limited AWD DCT, $20,895, High Price, 30,816 miles, 
Used 2022 Hyundai, Palisade SE AWD, $30,998, Fair Price, 28,405 miles, 
Used 2022 Hyundai, Sonata SEL, $24,995, High Price, 18,668 miles, 
Used 2022 Hyundai, Santa Fe SEL AWD, $25,787, High Price, 26,759 miles, 
Used 2022 Hyundai, Palisade SE AWD, $27,295, Fair Price, 75,431 miles, 
Used 2022 Hyundai, Kona SEL AWD Automatic, $21,995, High Price, 8,795 miles, 
Used 2022 Hyundai, Tucson SEL AWD, $20,100, High Price, 69,356 miles, 
Used 2022 Hyundai, Tucson SEL AWD, $25,888, High Price, 15,173 miles, 
Used 2022 Hyundai, Sonata Hybrid Blue, $19,950, Fair Price, 56,632 miles, 
Used 2022 Hyundai, Santa Fe SEL AWD, $25,950, High Price, 20,486 miles, 
Used 2022 Hyundai, Santa Fe SEL AWD, $22,895, High Price, 29,053 miles, 
Used 2022 Hyundai, Santa Fe Hybrid Blue AWD, $26,082, Fair Price, 10,453 miles, 
Used 2022 Hyundai, Santa Fe XRT AWD, $22,995, Great Price, 50,945 miles, 
Used 2022 Hyundai, Tucson SEL AWD, $23,995, Great Price, 6,941 miles, 
Used 2022 Hyundai, Sonata Limited, $27,455, High Price, 19,302 miles, 
Used 2022 Hyundai, Kona Limited AWD DCT, $21,988, High Price, 42,092 miles, 
Used 2022 Hyundai, Sonata SE, $17,776, Fair Price, 23,221 miles, 
Used 2022 Hyundai, Sonata SEL, $16,995, Great Price, 63,992 miles, 
Used 2022 Hyundai, Sonata Limited, $22,909, Fair Price, 20,132 miles, 
Used 2022 Hyundai, Tucson Hybrid SEL Convenience AWD, $25,883, High Price, 27,675 miles, 
Used 2022 Hyundai, Tucson Hybrid Blue AWD, $21,000, Great Price, 57,372 miles, 
Used 2022 Hyundai, Kona Electric Limited, $21,518, Great Price, 33,827 miles, 
Used 2022 Hyundai, Sonata Hybrid SEL, $22,950, High Price, 29,480 miles, 
Used 2022 Hyundai, Santa Fe SEL AWD, $21,990, High Price, 49,196 miles, 
Used 2022 Hyundai, Santa Cruz SEL Premium AWD, $28,998, Fair Price, 9,828 miles, 
Used 2022 Hyundai, Santa Fe SEL AWD, $29,495, High Price, 20,123 miles, 
Used 2022 Hyundai, Tucson SEL AWD, $24,843, High Price, 40,316 miles, 
Used 2022 Hyundai, Kona SEL AWD Automatic, $20,850, Fair Price, 30,262 miles, 
Used 2022 Hyundai, IONIQ 5 Limited AWD, $30,490, High Price, 18,954 miles, 
Used 2022 Hyundai, Sonata Limited, $28,499, High Price, 13,369 miles, 
Used 2022 Hyundai, Tucson Limited AWD, $25,995, Fair Price, 46,005 miles, 
Used 2022 Hyundai, Elantra N Line Manual, $21,772, High Price, 47,586 miles, 
Used 2022 Hyundai, Tucson SEL AWD, $24,713, Fair Price, 23,556 miles, 
Used 2022 Hyundai, Elantra SE IVT (SULEV), $16,999, High Price, 35,930 miles, 
Used 2022 Hyundai, Ioniq Hybrid SEL, $16,079, Fair Price, 101,217 miles, 
Used 2022 Hyundai, Santa Fe Hybrid Limited AWD, $24,990, High Price, 63,204 miles, 
Used 2022 Hyundai, Santa Fe Hybrid Blue AWD, $23,750, Fair Price, 45,347 miles, 
Used 2022 Hyundai, Sonata SE, $20,375, High Price, 27,465 miles, 
Used 2022 Hyundai, Sonata SEL, $20,000, High Price, 27,946 miles, 
Used 2022 Hyundai, Santa Cruz SEL Premium AWD, $25,975, High Price, 59,289 miles, 
Used 2022 Hyundai, Venue Limited IVT, $21,991, High Price, 11,999 miles, 
Used 2022 Hyundai, Elantra N Line DCT, $20,874, High Price, 36,386 miles, 
Used 2022 Hyundai, Santa Cruz Limited AWD, $27,455, High Price, 33,195 miles, 
Used 2022 Hyundai, Tucson SEL AWD, $24,998, High Price, 41,681 miles, 
Used 2022 Hyundai, Elantra N Line Manual, $19,490, High Price, 44,299 miles, 
Used 2022 Hyundai, Kona SE AWD Automatic, $19,950, High Price, 29,752 miles, 
Used 2022 Hyundai, Sonata SEL, $20,295, High Price, 32,060 miles, 
Used 2022 Hyundai, Kona Limited AWD DCT, $22,990, Excellent Price, 16,541 miles, 
Used 2022 Hyundai, Palisade SEL AWD, $31,847, High Price, 48,557 miles, 
Used 2022 Hyundai, Tucson SEL AWD, $24,998, High Price, 41,681 miles, 
Used 2022 Hyundai, Tucson SEL AWD, $25,887, High Price, 29,567 miles, 
Used 2022 Hyundai, Tucson SEL AWD, $24,713, Fair Price, 23,556 miles, 
Used 2022 Hyundai, Santa Fe Hybrid Blue AWD, $23,750, Fair Price, 45,347 miles, 
Used 2022 Hyundai, Ioniq Hybrid SEL, $16,079, Fair Price, 101,217 miles, 
Used 2022 Hyundai, Elantra N Line DCT, $20,874, High Price, 36,386 miles, 
Used 2022 Hyundai, Santa Fe Hybrid Limited AWD, $24,990, High Price, 63,204 miles, 
Used 2022 Hyundai, Sonata SEL, $20,295, High Price, 32,060 miles, 
Used 2022 Hyundai, Sonata SEL, $20,000, High Price, 27,946 miles, 
Used 2022 Hyundai, Sonata SE, $20,375, High Price, 27,465 miles, 
Used 2022 Hyundai, Tucson SEL AWD, $22,995, Fair Price, 21,044 miles, 
Used 2022 Hyundai, Kona SE AWD Automatic, $19,950, High Price, 29,752 miles, 
Used 2022 Hyundai, Sonata Limited, $21,481, Fair Price, 30,977 miles, 
Used 2022 Hyundai, Tucson SEL AWD, $19,869, High Price, 75,700 miles, 
Used 2022 Hyundai, Santa Cruz Limited AWD, $31,995, High Price, 21,285 miles, 
Used 2022 Hyundai, Tucson SEL AWD, $23,495, Fair Price, 19,483 miles, 
Used 2022 Hyundai, Tucson SEL AWD, $21,403, Fair Price, 40,179 miles, 
Used 2022 Hyundai, Kona SEL AWD Automatic, $21,981, High Price, 29,553 miles, 
Used 2022 Hyundai, Palisade SEL AWD, $30,995, Great Price, 22,739 miles, 
Used 2022 Hyundai, Tucson SEL AWD, $22,571, Fair Price, 40,570 miles, 
Used 2022 Hyundai, Santa Fe Hybrid Blue AWD, $18,500, Fair Price, 97,130 miles, 
Used 2022 Hyundai, Tucson Limited AWD, $24,554, Fair Price, 21,895 miles, 
Used 2022 Hyundai, Tucson SEL AWD, $23,216, High Price, 33,050 miles, 
Used 2022 Hyundai, Kona N Line AWD DCT, $24,888, High Price, 9,066 miles, 
Used 2022 Hyundai, Tucson Limited AWD, $24,900, Fair Price, 32,000 miles, 
Used 2022 Hyundai, Tucson SEL AWD, $23,239, High Price, 19,708 miles, 
Used 2022 Hyundai, Tucson SEL AWD, $21,759, High Price, 53,326 miles, 
Used 2022 Hyundai, Santa Fe SEL AWD, $24,969, High Price, 37,841 miles, 
Used 2022 Hyundai, Tucson Limited AWD, $29,995, High Price, 22,954 miles, 
Used 2022 Hyundai, Sonata Limited, $19,700, Fair Price, 67,081 miles, 
Used 2022 Hyundai, Tucson SEL AWD, $21,995, Fair Price, 18,241 miles, 
Used 2022 Hyundai, Sonata Hybrid SEL, $18,396, Fair Price, 58,595 miles, 
Used 2022 Hyundai, Tucson Hybrid SEL Convenience AWD, $27,075, High Price, 20,359 miles, 
Used 2022 Hyundai, Santa Fe SEL AWD, $27,999, High Price, 45,289 miles, 
Used 2022 Hyundai, Santa Fe SEL AWD, $22,980, High Price, 50,306 miles, 
Used 2022 Hyundai, Tucson SEL AWD, $22,641, Fair Price, 26,875 miles, 
Used 2022 Hyundai, Sonata Hybrid Blue, $22,950, High Price, 24,561 miles, 
Used 2022 Hyundai, Santa Fe Limited AWD, $26,999, Fair Price, 33,045 miles, 
Used 2022 Hyundai, Venue SE IVT, $15,995, Fair Price, 43,213 miles, 
Used 2022 Hyundai, Santa Fe SEL AWD, $22,759, High Price, 54,323 miles, 
Used 2022 Hyundai, Sonata N Line, $24,950, Fair Price, 33,511 miles, 
Used 2022 Hyundai, Kona SE AWD Automatic, $18,375, Fair Price, 38,590 miles, 
Used 2022 Hyundai, Santa Fe SEL FWD, $25,998, High Price, 17,010 miles, 
Used 2022 Hyundai, Sonata Limited, $17,995, Fair Price, 98,289 miles, 
Used 2022 Hyundai, Tucson SEL AWD, $22,960, Fair Price, 16,786 miles, 
Used 2022 Hyundai, Santa Fe Limited AWD, $23,998, Fair Price, 77,275 miles, 
Used 2022 Hyundai, Tucson Limited AWD, $29,874, Fair Price, 25,055 miles, 
Used 2022 Hyundai, Santa Fe SEL AWD, $25,000, High Price, 13,327 miles, 
Used 2022 Hyundai, Kona SEL FWD Automatic, $19,483, High Price, 47,549 miles, 
Used 2022 Hyundai, Tucson SEL AWD, $22,043, Fair Price, 28,352 miles, 
Used 2022 Hyundai, Tucson SEL AWD, $24,995, Fair Price, 3,020 miles, 
Used 2022 Hyundai, Tucson SEL AWD, $22,488, Fair Price, 28,053 miles, 
Used 2022 Hyundai, Tucson SEL AWD, $24,991, Fair Price, 20,168 miles, 
Used 2022 Hyundai, Tucson SEL AWD, $19,995, High Price, 70,802 miles, 
Used 2022 Hyundai, Elantra SEL IVT (SULEV), $17,789, Fair Price, 17,279 miles, 
Used 2022 Hyundai, Sonata SEL, $21,950, High Price, 23,759 miles, 
Used 2022 Hyundai, Tucson SEL AWD, $24,991, High Price, 23,810 miles, 
Used 2022 Hyundai, Tucson Limited AWD, $23,915, Fair Price, 40,705 miles, 
Used 2022 Hyundai, Kona SEL AWD Automatic, $21,981, High Price, 29,553 miles, 
Used 2022 Hyundai, Tucson SEL AWD, $23,776, High Price, 37,919 miles, 
Used 2022 Hyundai, Kona SEL AWD Automatic, $19,999, Great Price, 11,104 miles, 
Used 2022 Hyundai, Sonata SEL, $19,999, High Price, 20,567 miles, 
Used 2022 Hyundai, Tucson SEL AWD, $23,888, Fair Price, 22,352 miles, 
Used 2022 Hyundai, Santa Fe SEL AWD, $30,995, High Price, 22,206 miles, 
Used 2022 Hyundai, Kona Limited AWD DCT, $20,709, Fair Price, 56,171 miles, 
Used 2022 Hyundai, Tucson SEL AWD, $24,395, High Price, 3,006 miles, 
Used 2022 Hyundai, Sonata SEL, $19,523, Fair Price, 16,276 miles, 
Used 2022 Hyundai, Sonata SEL, $19,440, Fair Price, 22,987 miles, 
Used 2022 Hyundai, Elantra SEL IVT (SULEV), $20,081, Great Price, 12,913 miles, 
Used 2022 Hyundai, Santa Fe SE AWD, $23,998, Fair Price, 15,617 miles, 
Used 2022 Hyundai, Venue Limited IVT, $18,995, Fair Price, 17,418 miles, 
Used 2022 Hyundai, Santa Fe Limited AWD, $23,890, Fair Price, 45,085 miles, 
Used 2022 Hyundai, Kona SEL AWD Automatic, $16,898, Fair Price, 70,211 miles, 
Used 2022 Hyundai, Tucson SEL AWD, $25,995, High Price, 21,800 miles, 
Used 2022 Hyundai, Santa Fe Plug-In Hybrid SEL Convenience AWD, $26,911, High Price, 35,103 miles, 
Used 2022 Hyundai, Venue SE IVT, $17,995, High Price, 23,267 miles, 
Used 2022 Hyundai, Kona SEL AWD Automatic, $18,356, High Price, 81,673 miles, 
Used 2022 Hyundai, Palisade Calligraphy AWD, $33,850, Great Price, 37,154 miles, 
Used 2022 Hyundai, Tucson N Line AWD, $25,995, High Price, 27,812 miles, 
Used 2022 Hyundai, Santa Fe SEL AWD, $26,998, High Price, 38,932 miles, 
Used 2022 Hyundai, Venue SE IVT, $17,995, High Price, 23,267 miles, 
Used 2022 Hyundai, Santa Fe Plug-In Hybrid SEL Convenience AWD, $26,911, High Price, 35,103 miles, 
Used 2022 Hyundai, Tucson Hybrid Blue AWD, $23,435, High Price, 44,785 miles, 
Used 2022 Hyundai, Tucson N Line AWD, $25,995, High Price, 27,812 miles, 
Used 2022 Hyundai, Venue SE IVT, $18,241, High Price, 26,061 miles, 
Used 2022 Hyundai, Venue SE IVT, $15,999, High Price, 84,520 miles, 
Used 2022 Hyundai, Santa Cruz SE AWD, $21,988, High Price, 54,179 miles, 
Used 2022 Hyundai, Santa Fe SEL AWD, $31,820, High Price, 36,100 miles, 
