Used 2018 Dodge, Challenger R/T RWD, $15,550, Excellent Price, 132,238 miles, 
Used 2018 Dodge, Durango Citadel Anodized Platinum AWD, $16,421, Excellent Price, 100,100 miles, 
Used 2018 Dodge, Journey SE FWD, $12,700, Excellent Price, 49,409 miles, 
Used 2018 Dodge, Durango GT AWD, $17,995, Great Price, 101,241 miles, 
Used 2018 Dodge, Charger Police RWD, $17,999, Excellent Price, 44,271 miles, 
Used 2018 Dodge, Charger SXT RWD, $16,000, Great Price, 83,334 miles, 
Used 2018 Dodge, Journey GT FWD, $11,500, Excellent Price, 78,691 miles, 
Used 2018 Dodge, Grand Caravan GT, $7,990, Excellent Price, 132,966 miles, 
Used 2018 Dodge, Challenger SXT RWD Automatic, $13,450, Excellent Price, 102,440 miles, 
Used 2018 Dodge, Charger SRT Hellcat RWD, $49,163, Fair Price, 25,866 miles, 
Used 2018 Dodge, Charger GT AWD, $17,370, Fair Price, 111,081 miles, 
Used 2018 Dodge, Charger R/T RWD, $15,998, Great Price, 130,498 miles, 
Used 2018 Dodge, Challenger SXT RWD Automatic, $15,666, Excellent Price, 72,343 miles, 
Used 2018 Dodge, Charger GT AWD, $22,998, High Price, 85,110 miles, 
Used 2018 Dodge, Durango GT AWD, $18,995, Excellent Price, 87,464 miles, 
Used 2018 Dodge, Charger R/T Scat Pack RWD, $25,995, Fair Price, 112,275 miles, 
Used 2018 Dodge, Durango GT AWD, $17,499, Great Price, 102,349 miles, 
Used 2018 Dodge, Charger Police AWD, $9,995, Excellent Price, 119,782 miles, 
Used 2018 Dodge, Journey SE FWD, $15,998, High Price, 68,699 miles, 
Used 2018 Dodge, Journey SE FWD, $13,495, Fair Price, 54,359 miles, 
Used 2018 Dodge, Charger R/T Scat Pack RWD, $27,500, Great Price, 66,669 miles, 
Used 2018 Dodge, Durango Citadel AWD, $23,541, Excellent Price, 57,019 miles, 
Used 2018 Dodge, Charger Daytona RWD, $20,995, Great Price, 126,677 miles, 
Used 2018 Dodge, Charger GT AWD, $13,995, Great Price, 119,237 miles, 
Used 2018 Dodge, Charger GT AWD, $19,899, Excellent Price, 45,374 miles, 
Used 2018 Dodge, Challenger T/A 392 RWD, $26,777, Fair Price, 73,285 miles, 
Used 2018 Dodge, Challenger T/A 392 RWD, $29,995, Great Price, 47,149 miles, 
Used 2018 Dodge, Journey SE FWD, $11,788, Great Price, 61,271 miles, 
Used 2018 Dodge, Challenger R/T Plus RWD, $22,758, Great Price, 84,690 miles, 
Used 2018 Dodge, Charger R/T Scat Pack RWD, $25,453, High Price, 93,116 miles, 
Used 2018 Dodge, Durango SRT AWD, $52,000, High Price, 8,074 miles, 
Used 2018 Dodge, Durango SRT AWD, $39,495, High Price, 89,184 miles, 
Used 2018 Dodge, Challenger GT AWD Automatic, $18,499, Fair Price, 105,086 miles, 
Used 2018 Dodge, Challenger SXT RWD Automatic, $16,777, Fair Price, 51,324 miles, 
Used 2018 Dodge, Durango SXT AWD, $21,350, High Price, 72,475 miles, 
Used 2018 Dodge, Durango SXT AWD, $21,395, Fair Price, 78,302 miles, 
Used 2018 Dodge, Charger Daytona 392 RWD, $31,995, High Price, 106,325 miles, 
Used 2018 Dodge, Challenger SXT Plus RWD Automatic, $15,741, High Price, 138,212 miles, 
Used 2018 Dodge, Challenger R/T Scat Pack RWD, $26,999, High Price, 85,105 miles, 
Used 2018 Dodge, Challenger R/T Scat Pack RWD, $26,777, Fair Price, 61,324 miles, 
Used 2018 Dodge, Durango R/T RWD, $21,996, High Price, 105,794 miles, 
Used 2018 Dodge, Challenger SXT RWD Automatic, $13,999, High Price, 99,658 miles, 
Used 2018 Dodge, Grand Caravan SXT, $9,995, High Price, 155,735 miles, 
Used 2018 Dodge, Charger Police RWD, $15,998, High Price, 92,899 miles, 
Used 2018 Dodge, Journey SXT FWD, $8,995, High Price, 130,200 miles, 
Used 2018 Dodge, Grand Caravan GT, $16,995, High Price, 86,000 miles, 
Used 2018 Dodge, Grand Caravan SXT, $12,450, High Price, 114,550 miles, 
