Year/Make, Model, Price, Rating, Mileage
Used 2022 Mazda, CX-30 Premium, 24709, Excellent Price, 20080
Used 2022 Mazda, CX-5 2.5 S Premium, 22949, Great Price, 49006
Used 2022 Mazda, CX-9 Carbon Edition AWD, 30000, Fair Price, 27803
Used 2022 Mazda, CX-9 Carbon Edition AWD, 27500, Great Price, 55320
Used 2022 Mazda, CX-5 2.5 Turbo, 29000, Great Price, 38155
Used 2022 Mazda, CX-5 2.5 Turbo, 30500, Fair Price, 24071
Used 2022 Mazda, CX-9 Touring Plus AWD, 28500, Fair Price, 38209
Used 2022 Mazda, MX-30 EV Standard, 13998, Excellent Price, 29575
Used 2022 Mazda, CX-9 Touring AWD, 23699, Fair Price, 52608
Used 2022 Mazda, CX-30 Preferred, 23550, Great Price, 33036
Used 2022 Mazda, CX-5 2.5 Turbo, 31000, High Price, 23002
Used 2022 Mazda, CX-9 Carbon Edition AWD, 27000, High Price, 76824
Used 2022 Mazda, CX-9 Touring AWD, 24723, Fair Price, 31189
Used 2022 Mazda, CX-5 2.5 S Select, 24500, Fair Price, 30043
Used 2022 Mazda, CX-30 Select, 23573, High Price, 32620
Used 2022 Mazda, CX-30 Select, 21790, Fair Price, 34578
Used 2022 Mazda, CX-5 2.5 S Preferred, 21923, Fair Price, 44328
Used 2022 Mazda, CX-30 Select, 21550, Fair Price, 17420
Used 2022 Mazda, CX-30 Select, 24410, High Price, 13651
Used 2022 Mazda, CX-5 2.5 S Preferred, 24400, High Price, 27798
