Year/Make, Model, Price, Rating, Mileage
Used 2019 Lincoln, Nautilus Standard FWD, 16500, Excellent Price, 92427
Used 2019 Lincoln, MKC Reserve AWD, 21581, Excellent Price, 38296
Used 2019 Lincoln, MKC Reserve AWD, 20499, Great Price, 55254
Used 2019 Lincoln, Nautilus Black Label AWD, 32998, Excellent Price, 30002
Used 2019 Lincoln, Nautilus Standard FWD, 16500, Excellent Price, 92427
Used 2019 Lincoln, MKT Reserve 3.5L AWD, 10995, Excellent Price, 158782
Used 2019 Lincoln, Nautilus Reserve AWD, 18900, Fair Price, 105943
Used 2019 Lincoln, Nautilus Reserve FWD, 24750, Great Price, 17587
Used 2019 Lincoln, MKC Reserve AWD, 17995, Excellent Price, 71850
Used 2019 Lincoln, Navigator L Reserve 4WD, 29975, Great Price, 107423
Used 2019 Lincoln, MKZ Reserve I FWD, 21997, Fair Price, 40592
Used 2019 Lincoln, MKC Select FWD, 18997, Fair Price, 55350
Used 2019 Lincoln, Continental Select FWD, 28852, High Price, 49212
Used 2019 Lincoln, Nautilus Reserve FWD, 22537, High Price, 74021
