Year/Make, Model, Price, Rating, Mileage
Used 2023 Subaru, Impreza Premium 5-door CVT, 19950, Excellent Price, 29470
Used 2023 Subaru, Forester Wilderness, 29215, Excellent Price, 20626
Used 2023 Subaru, Outback Limited, 26998, Great Price, 57292
Used 2023 Subaru, Outback Premium, 26998, Great Price, 28789
Used 2023 Subaru, Crosstrek 2.0i Premium CVT, 24998, Great Price, 35990
Used 2023 Subaru, Crosstrek 2.5i Sport CVT, 25954, Great Price, 25595
Used 2023 Subaru, WRX Premium Manual, 28420, Great Price, 23128
Used 2023 Subaru, Outback Limited XT, 29188, Great Price, 40296
Used 2023 Subaru, Outback Touring XT, 28800, Fair Price, 54726
Used 2023 Subaru, Forester Limited, 29591, Excellent Price, 27019
Used 2023 Subaru, Outback Touring, 32490, Great Price, 14140
Used 2023 Subaru, Forester Limited, 29315, Excellent Price, 20271
Used 2023 Subaru, Ascent Onyx Edition Limited 7-Passenger, 36936, Great Price, 21979
Used 2023 Subaru, Impreza Premium 5-door CVT, 19480, Excellent Price, 33945
Used 2023 Subaru, Outback Touring XT, 27999, Great Price, 55756
Used 2023 Subaru, Crosstrek 2.5i Limited CVT, 27318, Great Price, 21780
Used 2023 Subaru, Outback Limited, 28874, Great Price, 22675
Used 2023 Subaru, Outback Touring XT, 34000, Fair Price, 10738
Used 2023 Subaru, Outback Premium, 28420, Fair Price, 25745
Used 2023 Subaru, Crosstrek 2.0i Premium CVT, 26398, Fair Price, 11933
Used 2023 Subaru, Outback Wilderness, 28943, Great Price, 55177
Used 2023 Subaru, Crosstrek 2.5i Limited CVT, 27998, Fair Price, 22634
Used 2023 Subaru, Forester Sport, 29998, Great Price, 8942
Used 2023 Subaru, Outback Onyx Edition, 28998, Fair Price, 37593
Used 2023 Subaru, Outback Limited, 30950, Fair Price, 18965
Used 2023 Subaru, Ascent Premium 7-Passenger, 33905, High Price, 18912
Used 2023 Subaru, Outback Premium, 28590, High Price, 35156
Used 2023 Subaru, Outback Touring XT, 32420, Great Price, 25441
Used 2023 Subaru, Crosstrek 2.0i Premium CVT, 24700, Great Price, 37637
Used 2023 Subaru, Outback Onyx Edition XT, 32597, Fair Price, 37525
Used 2023 Subaru, Crosstrek 2.0i Premium CVT, 24700, Great Price, 37637
Used 2023 Subaru, Outback Onyx Edition XT, 32597, Fair Price, 37525
Used 2023 Subaru, Ascent Touring 7-Passenger, 39000, High Price, 32738
Used 2023 Subaru, Crosstrek 2.0i CVT, 24074, Fair Price, 31605
Used 2023 Subaru, Legacy Limited, 23955, Fair Price, 62341
Used 2023 Subaru, Crosstrek 2.0i Premium CVT, 24799, Fair Price, 30889
Used 2023 Subaru, Forester Premium, 31950, High Price, 23421
Used 2023 Subaru, Legacy Premium, 22992, High Price, 47426
