Year/Make, Model, Price, Rating, Mileage
Used 2022 Genesis, GV70 3.5T Sport, 33800, Excellent Price, 73212
Used 2022 Genesis, GV70 2.5T, 37000, Great Price, 23493
Used 2022 Genesis, G80 2.5T AWD, 39998, Excellent Price, 10220
Used 2022 Genesis, GV70 2.5T, 33500, Great Price, 25765
Used 2022 Genesis, GV70 3.5T Sport, 33800, Excellent Price, 73212
Used 2022 Genesis, GV70 3.5T Sport, 43000, Excellent Price, 11710
Used 2022 Genesis, G70 2.0T AWD, 27000, Great Price, 33372
Used 2022 Genesis, G80 2.5T AWD, 33990, Great Price, 42867
Used 2022 Genesis, GV70 2.5T, 29777, Excellent Price, 67075
Used 2022 Genesis, GV70 2.5T, 35891, Fair Price, 27654
Used 2022 Genesis, G70 3.3T AWD, 31500, Great Price, 34271
Used 2022 Genesis, G70 2.0T RWD, 29000, Fair Price, 34477
Used 2022 Genesis, GV70 2.5T, 35777, Fair Price, 20984
Used 2022 Genesis, G70 2.0T RWD, 31990, Fair Price, 7602
Used 2022 Genesis, GV70 2.5T, 37973, Fair Price, 22369
Used 2022 Genesis, G70 3.3T AWD, 34000, Fair Price, 23472
Used 2022 Genesis, G70 2.0T RWD, 26000, High Price, 45831
Used 2022 Genesis, GV80 3.5T Advanced + AWD, 44500, Fair Price, 26699
Used 2022 Genesis, GV70 3.5T Sport, 38000, Great Price, 48498
Used 2022 Genesis, G70 2.0T RWD, 22222, Fair Price, 72734
Used 2022 Genesis, G70 2.0T AWD, 28990, Fair Price, 43416
Used 2022 Genesis, GV70 2.5T, 31600, Fair Price, 60421
Used 2022 Genesis, G90 5.0L Ultimate RWD, 47798, Great Price, 10093
Used 2022 Genesis, GV80 3.5T Advanced + AWD, 40428, Fair Price, 65970
Used 2022 Genesis, GV80 2.5T AWD, 39995, Excellent Price, 45960
Used 2022 Genesis, GV80 2022.5 2.5T AWD, 44577, High Price, 33859
Used 2022 Genesis, GV70 2.5T, 42998, High Price, 26651
Used 2022 Genesis, G80 2.5T AWD, 34500, High Price, 30595
Used 2022 Genesis, GV70 2.5T, 33250, High Price, 43819
Used 2022 Genesis, GV70 2.5T, 34000, High Price, 60169
Used 2022 Genesis, G70 2.0T AWD, 29995, High Price, 29186
